CALLER,CALLED,DAY_DT,DURATION,PRICE,INTERNATIONAL
ana,luz,1924-04-19,13,3.807626207948134,false
fox,ana,1924-04-19,81,3.3840309007439595,false
leo,ken,1924-04-19,16,4.261821590557362,false
eli,ben,1924-04-19,32,1.9548504359073848,true
ana,tim,1924-04-19,45,4.829209498550102,false
riu,riu,1924-04-19,32,2.6881045946962256,false
luz,van,1924-04-19,23,1.4921971042392923,false
ana,kia,1924-04-19,78,6.882304599011654,false
van,ana,1924-04-19,84,8.16394453690225,false
luz,van,1924-04-19,12,2.630421062287247,false
van,fox,1924-04-19,35,8.154663926156811,false
mar,ana,1924-04-19,52,3.6203993660633547,false
leo,noa,1924-04-19,98,6.7367535342491465,false
eli,pau,1924-04-19,95,9.162263832148742,false
kia,tom,1924-04-19,58,3.6389732243049275,false
joe,rey,1924-04-19,37,8.274511380484734,false
eli,zoe,1924-04-19,80,8.25786560322452,false
eli,joe,1924-04-19,7,6.108240441007824,false
ada,bob,1924-04-19,15,2.9607484474794497,true
pau,kia,1924-04-19,38,2.9712100064253466,false
riu,leo,1924-04-19,79,4.8041736486043165,false
eva,kia,1924-04-19,0,6.115835942000435,false
gio,mar,1924-04-19,73,4.623995709616736,false
ana,tim,1924-04-19,92,1.9149384190852448,false
luz,pau,1924-04-19,31,6.569474592691138,false
ken,ben,1924-04-19,34,9.297326582354705,false
teo,zoe,1924-04-19,17,3.335411098266874,false
gio,ken,1924-04-19,20,0.329953035673729,true
ben,mac,1924-04-19,90,4.91316232297784,false
sam,ken,1924-04-19,28,2.2399715432459044,false
riu,pau,1924-04-19,28,2.4114268909383743,false
teo,tim,1924-04-19,30,5.329552645292055,false
kia,fox,1924-04-19,23,8.6145946172206,true
jim,van,1924-04-19,28,4.19508028200827,false
fox,pol,1924-04-19,34,1.3710818282132153,true
fox,fox,1924-04-19,42,3.6740447735904147,false
jim,riu,1924-04-19,43,4.667190626802266,true
van,max,1924-04-19,69,7.114920357890366,false
bob,luz,1924-04-19,20,5.648017606262062,false
joe,luz,1924-04-19,2,8.812555179977112,false
eva,rey,1924-04-19,24,1.2434845176845888,false
gio,mar,1924-04-19,47,5.575174534615318,false
pol,rey,1924-04-19,16,4.460650699490229,false
jim,ben,1924-04-19,11,0.7353826234380589,false
tom,eva,1924-04-19,26,9.700017693229237,false
ben,luz,1924-04-19,97,2.09507290821107,false
tom,tim,1924-04-19,88,0.6625058232272873,true
eva,pol,1924-04-19,31,5.500132041128999,false
zoe,riu,1924-04-19,22,6.657695719571733,false
pol,leo,1924-04-19,46,1.499060277919132,false
ana,tom,1924-04-19,2,2.060020806301448,false
jim,fox,1924-04-19,60,7.807007716435566,true
mac,ken,1924-04-19,41,4.111526176964025,false
ana,luz,1924-04-19,89,0.31142181394516744,false
fox,eva,1924-04-19,7,9.143034490285139,true
kia,zoe,1924-04-19,26,0.1283367075329256,false
sam,sam,1924-04-19,53,4.488243690626295,false
zoe,van,1924-04-19,91,6.633905928702388,false
van,fox,1924-04-19,51,5.41355782905525,false
rey,ana,1924-04-19,56,6.935964457711304,true
ken,eli,1924-04-19,54,1.7535216637241835,false
eva,joe,1924-04-19,60,0.7301357827821497,false
max,ken,1924-04-19,65,4.153858541531426,false
max,ben,1924-04-19,20,0.8823423399681474,true
ken,sam,1924-04-19,3,7.506650317342439,false
mar,van,1924-04-19,63,5.46144013926039,false
ken,sam,1924-04-19,42,9.090124400314846,false
joe,eva,1924-04-19,97,6.237671592497939,false
fox,fox,1924-04-19,69,1.2371241519149756,false
rey,teo,1924-04-19,95,2.4296208745585304,false
joe,luz,1924-04-19,14,2.2959354128304565,false
