CONTENT_TITLE,CONTENT_SUB_TITLE,EXTERNAL_ASSET_ID,CONTENT_KIND
Peter Pan en regreso al paÃ_de nunca jamÃ¡,SD,PRG_0000000412SD_PAGE_SD,BVI
GalÃ¡gos: AdaptaciÃ_alÃ¡gos,SD,PRG_CHELLO_0000596077SD_PAGE_SD,CHELLO MULTICANAL_TEUVE
GalÃ¡gos: EvoluciÃ_alÃ¡gos,SD,PRG_CHELLO_0000596078SD_PAGE_SD,CHELLO MULTICANAL_TEUVE
Bajo el peso de la ley,,PRG_0000029912SD,Cine
Blood red,,PRG_0000007393SD,Cine
Cube,,PRG_0000029887SD,Cine
Cube,,PRG_0000034848SD,Cine
Diario de un loco,,PRG_0000024428SD,Cine
Disaster Movie,,PRG_0000006991SD,Cine
El Kodiak,,PRG_0000024425SD,Cine
El bazar de las sorpresas,,PRG_0000007351SD,Cine
El bazar de las sorpresas,,PRG_0000018550SD,Cine
El bazar de las sorpresas,,PRG_0000024109SD,Cine
El bazar de las sorpresas,,PRG_0000029890SD,Cine
El partido de sus vidas,,PRG_0000024421SD,Cine
La gata sobre el tejado de zinc,,PRG_0000007350SD,Cine
La gata sobre el tejado de zinc,,PRG_0000016090SD,Cine
La gata sobre el tejado de zinc,,PRG_0000020084SD,Cine
La gata sobre el tejado de zinc,,PRG_0000021604SD,Cine
La gata sobre el tejado de zinc,,PRG_0000029889SD,Cine
La justicia al acecho,,PRG_0000007304SD,Cine
Mi tío,,PRG_0000029757SD,Cine
Next,,PRG_0000029810SD,Cine
Parker,,PRG_0000004746SD,Cine
Reservoir Dogs,,PRG_0000029899SD,Cine
Reservoir Dogs,,PRG_0000034849SD,Cine
Soldado o cazador,,PRG_0000024426SD,Cine
The Mechanic,,PRG_0000018604SD,Cine
"Trailer, Un Día perfecto",,PRG_0000022599SD,Cine
Una vida en imágenes: Ethan Hawke,,PRG_0000031671SD,Cine
Y el Oscar es para¿,,PRG_0000033557SD,Cine
300,,PRG_WAR_300_120702SD,Cine AcciÃ_ine Aventuras
Armageddon,,PRG_BVI_ARMAGED_120118SD,Cine AcciÃ_ine Aventuras
Avance: El hombre de acero,,PRG_0000001391SD,Cine AcciÃ_ine Aventuras
Avance: El hombre de acero,,PRG_0000001424SD,Cine AcciÃ_ine Aventuras
Avance: Guerra Mundial Z,,PRG_0000001653SD,Cine AcciÃ_ine Aventuras
Avance: Guerra Mundial Z,,PRG_0000001803SD,Cine AcciÃ_ine Aventuras
Avance: Pacific Rim,,PRG_0000001707SD,Cine AcciÃ_ine Aventuras
Avance: Star Trek: En la oscuridad,,PRG_0000001390SD,Cine AcciÃ_ine Aventuras
Avance: Star Trek: En la oscuridad,,PRG_0000001950SD,Cine AcciÃ_ine Aventuras
Bajo cero,,PRG_0000000447SD,Cine AcciÃ_ine Aventuras
Batman,,PRG_WAR_BATMAN_090518SD,Cine AcciÃ_ine Aventuras
Batman Begins,,PRG_0000000458SD,Cine AcciÃ_ine Aventuras
Batman Forever,,PRG_WAR_BATFORE_090518SD,Cine AcciÃ_ine Aventuras
Batman vuelve,,PRG_WAR_BATRET_090518SD,Cine AcciÃ_ine Aventuras
Batman y Robin,,PRG_WAR_BATROB_09051881SD,Cine AcciÃ_ine Aventuras
Camuflaje,,PRG_0000001745SD,Cine AcciÃ_ine Aventuras
CapitÃ¡AmÃ©ca: El primer vengador,,PRG_PAR_CAPAMER_111104SD,Cine AcciÃ_ine Aventuras
Cowboys and Aliens,,PRG_PAR_COWALIENS_111104SD,Cine AcciÃ_ine Aventuras
CÃ_se rodÃ_erra Mundial Z,,PRG_0000001747SD,Cine AcciÃ_ine Aventuras
DÃ_de entrenamiento,,PRG_WAR_TRAINDAY_100326SD,Cine AcciÃ_ine Aventuras
El asesinato de Jesse James por el cobarde Robert Ford,,PRG_0000000461SD,Cine AcciÃ_ine Aventuras
El asesinato de Jesse James por el cobarde Robert Ford,,PRG_WAR_ASJESJAM_120702SD,Cine AcciÃ_ine Aventuras
El caballero oscuro,,PRG_WAR_CABAOSCUR_130521SD,Cine AcciÃ_ine Aventuras
El capitÃ¡Blood,,PRG_0000001901SD,Cine AcciÃ_ine Aventuras
El hombre de acero,,PRG_0000001535SD,Cine AcciÃ_ine Aventuras
El llanero solitario,,PRG_0000001797SD,Cine AcciÃ_ine Aventuras
Extras: El antifaz,,PRG_0000001652SD,Cine AcciÃ_ine Aventuras
Extras: Infierno sobre ruedas,,PRG_0000001650SD,Cine AcciÃ_ine Aventuras
Extras: La plataforma del espÃ_tu,,PRG_0000001651SD,Cine AcciÃ_ine Aventuras
Extras: Mister Spock,,PRG_0000001628SD,Cine AcciÃ_ine Aventuras
Extras: Reconstruyendo el Enterprise,,PRG_0000001629SD,Cine AcciÃ_ine Aventuras
G.I. JOE: La venganza,,PRG_0000000294SD,Cine AcciÃ_ine Aventuras
G.I. Joe,,PRG_0000000581SD,Cine AcciÃ_ine Aventuras
Gangster Squad,,PRG_WAR_GANGSTSQD_130503SD,Cine AcciÃ_ine Aventuras
Guerra mundial Z,,PRG_0000001796SD,Cine AcciÃ_ine Aventuras
Iron man 3,,PRG_0000000344SD,Cine AcciÃ_ine Aventuras
La bÃºda,,PRG_0000001341SD,Cine AcciÃ_ine Aventuras
La bÃºda,,PRG_BVI_BUSQUEDA_100120SD,Cine AcciÃ_ine Aventuras
La guerra de los mundos,,PRG_PAR_GUERRAMUN_130614SD,Cine AcciÃ_ine Aventuras
Minority Report,,PRG_PAR_MINORIREP_130614SD,Cine AcciÃ_ine Aventuras
MisiÃ_mposible,,PRG_0000000583SD,Cine AcciÃ_ine Aventuras
OrÃ_nes,,PRG_0000001746SD,Cine AcciÃ_ine Aventuras
Pacific Rim,,PRG_0000001794SD,Cine AcciÃ_ine Aventuras
Piratas del Caribe: El cofre del hombre muerto,,PRG_0000000422SD,Cine AcciÃ_ine Aventuras
Piratas del Caribe: En el fin del mundo,,PRG_0000000423SD,Cine AcciÃ_ine Aventuras
Piratas del Caribe: La maldiciÃ_e la Perla Negra,,PRG_0000000420SD,Cine AcciÃ_ine Aventuras
Poseidon,,PRG_0000000474SD,Cine AcciÃ_ine Aventuras
Star Trek en la oscuridad,,PRG_0000000296SD,Cine AcciÃ_ine Aventuras
